id,english_name,korean_name,chunil_name,code,category,usage_standard,purpose,usage_availability,documents
3503,MOROSIL,모로오렌지추출분말(기능성원료인정제2021-7호),,C9001007000000,건강기능식품,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3504,,모시잎,,A1000856380000,식품원료,원료이기에 사용기준 없음,,사용가능,
3505,,모시풀,,A1000856000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3506,,모자반,,A3000869000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3507,MORCHELLA CONICA,모첼라코니카,,A1054205B90000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
3508,MAGNOLIA FLOWER,목련꽃잎,,A1000859170000,식품원료,원료이기에 사용기준 없음,,사용가능,
3509,Mokryeon Flower Extract,목련꽃잎추출물,,A1000859174500,식품원료,원료이기에 사용기준 없음,,사용가능,
3510,,목별열매,,A1000861230000,식품원료,원료이기에 사용기준 없음,,사용가능,
3511,GAC,목별열매분말,,A1000861230001,식품원료,원료이기에 사용기준 없음,,사용가능,
3512,GAC OIL,목별열매오일,,A1000861230020,식품원료,원료이기에 사용기준 없음,,사용가능,
3513,GAC FRUIT JUICE,목별열매주스,,A1000861230025,식품원료,원료이기에 사용기준 없음,,사용가능,
3514,GAC PUREE,목별열매퓨레,,A1000861230034,식품원료,원료이기에 사용기준 없음,,사용가능,
3515,OSMANTHUS FRAGRANS LOUR,목서꽃,,A1000862140000,식품원료,원료이기에 사용기준 없음,,사용가능,
3516,CHINESE EAR FUNGUS,목이버섯,,A1000863B90000,식품원료,원료이기에 사용기준 없음,,사용가능,
3517,CHINESE EAR FUNGUS EXTRACT,목이버섯추출물,,A1000863B94500,식품원료,원료이기에 사용기준 없음,,사용가능,
3518,WOOD(EPOXY RESIN COATING),목재류(에폭시수지도장),,D6000002B80000,기구 및 용기포장,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3519,,목향,,A1000868610000,식품원료,원료이기에 사용기준 없음,,사용불가,
3520,Five-leaved chaste tree,목형(외화획득용 등),,AZ000059000000,식품원료,원료이기에 사용기준 없음,,사용불가,
3521,COTTON FLOWER,목화,,A1000869000000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
3522,COTTON SEED,목화씨앗,,A1000869320000,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
3523,HYDROGENATED COTTON SEED OIL,목화씨앗경화유,,A1000869327320,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
3524,PARTICIALLY HYDROGENATED COTTON SEED OIL,목화씨앗부분경화유,,A1000869327920,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
3525,COTTONSEED FIBER,목화씨앗식이섬유,,A1000869320084,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
3526,COTTON SEED OIL,목화씨앗유,,A1000869320020,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
3527,COTTON SEED OIL POWDER,목화씨앗유분말,,A1000869320092,식품원료,원료이기에 사용기준 없음,,"제한적사용가능, 별도 확인 필요",
3528,CORCHORUS OLITORIUS,몰로키아,,A1000870000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3529,,몰로키아가루,,A1000870380001,식품원료,원료이기에 사용기준 없음,,사용가능,
3530,,몰로키아잎,,A1000870380000,식품원료,원료이기에 사용기준 없음,,사용가능,
3531,MOLYBDENUM TRITURATE-외화획득용,몰리브덴(외화획득용),,BZ000025000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
3532,몰리브덴산나트륨,몰리브덴산나트륨,,B1000435000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
3533,AMMONIUM MOLYBDATE,몰리브덴산암모늄,,B1000427000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
3534,GALLIC ACID,몰식자산,,B2000128000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,산화방지제,"기타, 별도 확인 필요",
3535,PROPYL GALLATE,몰식자산프로필,,B1000064000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",산화방지제,"기타, 별도 확인 필요",
3536,MYRRH,몰약,,A1000871000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3537,,몰약고무수지,,A1000871130000,식품원료,원료이기에 사용기준 없음,,사용가능,
3538,MYRRH OIL,몰약오일,,A1000871000020,식품원료,원료이기에 사용기준 없음,,사용가능,
3539,MYRRHA EXTRACT,몰약추출물,,A1054031004500,식품원료,원료이기에 사용기준 없음,,사용가능,
3540,MORPHOLINE SALTS OF FATTY ACIDS,몰포린지방산염,,B1000065000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",피막제,"기타, 별도 확인 필요",
3541,,몽고뽕나무열매,,A1005041230000,식품원료,원료이기에 사용기준 없음,,사용가능,
3542,,몽치다래,,A3000322000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3543,,몽치다래추출물,,A3000322004500,식품원료,원료이기에 사용기준 없음,,사용가능,
3544,RADISH,무,,A1000872000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3545,ROSE OF SHARON,무궁화,,A1002665000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3546,MUGUNGHWA FLOWER LEAVES EXTRACT POWDER,무궁화꽃잎추출분말,,A1002665174501,식품원료,원료이기에 사용기준 없음,,사용가능,
3547,HIBISCUS COLOR,무궁화색소,,B2000129000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",착색료,"기타, 별도 확인 필요",
3548,RADISH CONCENTRATE,무농축액,,A1000872000814,식품원료,원료이기에 사용기준 없음,,사용가능,
3549,,무늬둥굴레뿌리줄기,,A1000873620000,식품원료,원료이기에 사용기준 없음,,사용가능,
3550,ITTEN FUEDAI,무늬퉁돔,,A3000325000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3551,,무말랭이,,A1003001000400,식품원료,원료이기에 사용기준 없음,,사용가능,
3552,,무분말,,A1000872000001,식품원료,원료이기에 사용기준 없음,,사용가능,
3553,CITRIC ACID ANHYDROUS,무수구연산,,B1003530000201,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3554,SULFUR DIOXIDE,무수아황산,,B1000066000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",표백제,"기타, 별도 확인 필요",
3555,,무순,,A1000872880000,식품원료,원료이기에 사용기준 없음,,사용가능,
3556,,무씨앗,,A1000872320000,식품원료,원료이기에 사용기준 없음,,사용가능,
3557,,무이라푸아마(외화획득용 등),,AZ000074000000,식품원료,원료이기에 사용기준 없음,,사용불가,
3558,RADISH LEAF,무잎,,A1000872380000,식품원료,원료이기에 사용기준 없음,,사용가능,
3559,무우청추출물,무잎추출물,,A1000872384500,식품원료,원료이기에 사용기준 없음,,사용가능,
3560,FERMENTED RADISH STEM EXTRACT,무잎추출액,,A1000872384514,식품원료,원료이기에 사용기준 없음,,사용가능,
3561,,무주스,,A1000872000025,식품원료,원료이기에 사용기준 없음,,사용가능,
3562,,무주스농축액,,A1000872000825,식품원료,원료이기에 사용기준 없음,,사용가능,
3563,RADISH JUICE,무즙,,A1000872000026,식품원료,원료이기에 사용기준 없음,,사용가능,
3564,,무즙농축액,,A1000872000826,식품원료,원료이기에 사용기준 없음,,사용가능,
3565,,무즙분말,,A1000872610057,식품원료,원료이기에 사용기준 없음,,사용가능,
3566,,무지개송어,,A3000329000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3567,무지방우유,무지방우유,,P0201020600000,식품유형,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3568,NON-FAT COCOA(CACAO) SOLID,무지방카카오고형분,,A1003061009304,식품원료,원료이기에 사용기준 없음,,사용가능,
3569,GLASSES,무착색유리제,,D7000001100000,기구 및 용기포장,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3570,,무착색유리제(가열조리용),,D7000001110000,기구 및 용기포장,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3571,,"무착색유리제(가열조리용, 납함유크리스탈)",,D7000001120000,기구 및 용기포장,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3572,GLASSES(CRYSTAL CONTAINING LEAD),무착색유리제(납함유크리스탈),,D7000001130000,기구 및 용기포장,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3573,,무채,,A1000872000029,식품원료,원료이기에 사용기준 없음,,사용가능,
3574,,무추출물,,A1000872004500,식품원료,원료이기에 사용기준 없음,,사용가능,
3575,FIG,무화과,,A1000878000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3576,,무화과농축,,A1000878000800,식품원료,원료이기에 사용기준 없음,,사용가능,
3577,,무화과농축액,,A1000878000814,식품원료,원료이기에 사용기준 없음,,사용가능,
3578,,무화과분말,,A1000878000001,식품원료,원료이기에 사용기준 없음,,사용가능,
3579,FIG SEED,무화과씨앗,,A1000878320000,식품원료,원료이기에 사용기준 없음,,사용가능,
3580,,무화과열매,,A1000878230000,식품원료,원료이기에 사용기준 없음,,사용가능,
3581,,무화과열매추출물,,A1000878234512,식품원료,원료이기에 사용기준 없음,,사용가능,
3582,,무화과주스,,A1000878000025,식품원료,원료이기에 사용기준 없음,,사용가능,
3583,FIG JUICE CONCENTRATE,무화과주스농축,,A1053966000825,식품원료,원료이기에 사용기준 없음,,사용가능,
3584,,무화과페이스트,,A1000878000033,식품원료,원료이기에 사용기준 없음,,사용가능,
3585,,무화과퓌레,,A1000878000034,식품원료,원료이기에 사용기준 없음,,사용가능,
3586,,문어,,A3000332000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3587,OCTOPUS POWDER,문어가루,,A3000332000001,식품원료,원료이기에 사용기준 없음,,사용가능,
3588,OCTOPUS SUCKER,문어빨판,,A3000332320000,식품원료,원료이기에 사용기준 없음,,사용가능,
3589,,문어살,,A3000332080000,식품원료,원료이기에 사용기준 없음,,사용가능,
3590,OCTOPUS EXTRACT,문어추출물,,A3000332004500,식품원료,원료이기에 사용기준 없음,,사용가능,
3591,,문절망둑,,A3000333000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3592,"SHOTTED HALIBUT, ROUNDNOSE FLOUNDER",물가자미,,A3000335000000,식품원료,원료이기에 사용기준 없음,,사용가능,
3593,,물개,,A4000022000000,식품원료,원료이기에 사용기준 없음,,사용불가,
3594,SEAL OIL,물개오일,,A4000022000020,식품원료,원료이기에 사용기준 없음,,사용불가,
3595,WATER CRESS,물냉이,,A1000880000000,식품원료,원료이기에 사용기준 없음,,사용가능,
